shoe_name,price,category,review,star,product_code,comfort,size_count,color_count,color 1,color 2,color 3,color 4,color 5
Nike Air Force 1 '07,₹ 7 495.00,Men,1316,4.8,CW2288-111,[],0,2,White/White,Black/Black,,,
Nike Air Force 1 '07,₹ 7 495.00,Men,1316,4.8,CW2288-001,[],0,2,White/White,Black/Black,,,
Nike Court Vision Low Next Nature,₹ 4 995.00,Men,105,4.7,DH2987-110,[],0,7,White/Malachite/White/Black,White/White/Black,Wolf Grey/White/University Red,White/White/White,Black/Black/White
Nike Court Vision Low Next Nature,₹ 4 995.00,Men,105,4.7,DH2987-101,[],0,7,White/Malachite/White/Black,White/White/Black,Wolf Grey/White/University Red,White/White/White,Black/Black/White
Nike Court Vision Low Next Nature,₹ 4 995.00,Men,105,4.7,DH2987-004,[],0,7,White/Malachite/White/Black,White/White/Black,Wolf Grey/White/University Red,White/White/White,Black/Black/White
Nike Court Vision Low Next Nature,₹ 4 995.00,Men,105,4.7,DH2987-100,[],0,7,White/Malachite/White/Black,White/White/Black,Wolf Grey/White/University Red,White/White/White,Black/Black/White
Nike Court Vision Low Next Nature,₹ 4 995.00,Men,105,4.7,DH2987-001,[],0,7,White/Malachite/White/Black,White/White/Black,Wolf Grey/White/University Red,White/White/White,Black/Black/White
Nike Court Vision Low Next Nature,,Men,105,4.7,DH2987-106,[],0,7,White/Malachite/White/Black,White/White/Black,Wolf Grey/White/University Red,White/White/White,Black/Black/White
Nike Court Vision Low Next Nature,₹ 4 995.00,Men,105,4.7,DH2987-002,[],0,7,White/Malachite/White/Black,White/White/Black,Wolf Grey/White/University Red,White/White/White,Black/Black/White
Jordan Hydro XI,₹ 4 995.00,Men,0,0.0,FN2452-170,,0,1,,,,,
Nike Air Humara,₹ 14 995.00,Men,8,4.8,FJ7098-400,,0,5,Polar/Light Ultramarine/Deep Royal Blue/Buff Gold,Wheatgrass/Black/Wheatgrass/Yellow Ochre,Buff Gold/Bronzine/Velvet Brown/Buff Gold,Oil Green/Phantom/Light Bone/Malachite,Black/Metallic Silver/Black/Metallic Silver
Nike Air Humara,,Men,8,4.8,FJ7098-700,,0,5,Polar/Light Ultramarine/Deep Royal Blue/Buff Gold,Wheatgrass/Black/Wheatgrass/Yellow Ochre,Buff Gold/Bronzine/Velvet Brown/Buff Gold,Oil Green/Phantom/Light Bone/Malachite,Black/Metallic Silver/Black/Metallic Silver
Nike Air Humara,₹ 14 995.00,Men,8,4.8,FJ7098-701,,0,5,Polar/Light Ultramarine/Deep Royal Blue/Buff Gold,Wheatgrass/Black/Wheatgrass/Yellow Ochre,Buff Gold/Bronzine/Velvet Brown/Buff Gold,Oil Green/Phantom/Light Bone/Malachite,Black/Metallic Silver/Black/Metallic Silver
Nike Air Humara,₹ 14 995.00,Men,8,4.8,FJ7098-301,,0,5,Polar/Light Ultramarine/Deep Royal Blue/Buff Gold,Wheatgrass/Black/Wheatgrass/Yellow Ochre,Buff Gold/Bronzine/Velvet Brown/Buff Gold,Oil Green/Phantom/Light Bone/Malachite,Black/Metallic Silver/Black/Metallic Silver
Nike Air Humara,₹ 14 995.00,Men,8,4.8,FJ7098-002,,0,5,Polar/Light Ultramarine/Deep Royal Blue/Buff Gold,Wheatgrass/Black/Wheatgrass/Yellow Ochre,Buff Gold/Bronzine/Velvet Brown/Buff Gold,Oil Green/Phantom/Light Bone/Malachite,Black/Metallic Silver/Black/Metallic Silver
Nike Air Max 90,₹ 11 895.00,Men,2,4.0,FB9657-002,,0,1,,,,,
Nike Air VaporMax 2023 Flyknit,₹ 19 295.00,Men,176,4.6,DV1678-003,,0,7,Black/Anthracite/Black/Black,Sand Drift/Bronzine/Sand Drift/Bronzine,Pure Platinum/Pure Platinum/Pure Platinum/White,Black/White/Black/White,Light Ultramarine/Polar/Polar/Pure Platinum
Nike Air VaporMax 2023 Flyknit,₹ 19 295.00,Men,176,4.6,DV1678-100,,0,7,Black/Anthracite/Black/Black,Sand Drift/Bronzine/Sand Drift/Bronzine,Pure Platinum/Pure Platinum/Pure Platinum/White,Black/White/Black/White,Light Ultramarine/Polar/Polar/Pure Platinum
Nike Air VaporMax 2023 Flyknit,₹ 19 295.00,Men,176,4.6,DV1678-002,,0,7,Black/Anthracite/Black/Black,Sand Drift/Bronzine/Sand Drift/Bronzine,Pure Platinum/Pure Platinum/Pure Platinum/White,Black/White/Black/White,Light Ultramarine/Polar/Polar/Pure Platinum
Nike Air VaporMax 2023 Flyknit,₹ 19 295.00,Men,176,4.6,DV1678-001,,0,7,Black/Anthracite/Black/Black,Sand Drift/Bronzine/Sand Drift/Bronzine,Pure Platinum/Pure Platinum/Pure Platinum/White,Black/White/Black/White,Light Ultramarine/Polar/Polar/Pure Platinum
Nike Air VaporMax 2023 Flyknit,₹ 19 295.00,Men,176,4.6,DV1678-500,,0,7,Black/Anthracite/Black/Black,Sand Drift/Bronzine/Sand Drift/Bronzine,Pure Platinum/Pure Platinum/Pure Platinum/White,Black/White/Black/White,Light Ultramarine/Polar/Polar/Pure Platinum
Nike Air VaporMax 2023 Flyknit,₹ 19 295.00,Men,176,4.6,DV1678-300,,0,7,Black/Anthracite/Black/Black,Sand Drift/Bronzine/Sand Drift/Bronzine,Pure Platinum/Pure Platinum/Pure Platinum/White,Black/White/Black/White,Light Ultramarine/Polar/Polar/Pure Platinum
Nike Air VaporMax 2023 Flyknit,₹ 19 295.00,Men,176,4.6,DV1678-004,,0,7,Black/Anthracite/Black/Black,Sand Drift/Bronzine/Sand Drift/Bronzine,Pure Platinum/Pure Platinum/Pure Platinum/White,Black/White/Black/White,Light Ultramarine/Polar/Polar/Pure Platinum
Nike Blazer Low '77 Vintage,₹ 7 195.00,Men,95,4.4,DA6364-001,,0,4,Black/Sail/Black/White,White/Sail/Black/Pine Green,White/Sail/Black,White/Chlorophyll/Sail/Medium Blue,
Nike Blazer Low '77 Vintage,₹ 7 195.00,Men,95,4.4,DA6364-115,,0,4,Black/Sail/Black/White,White/Sail/Black/Pine Green,White/Sail/Black,White/Chlorophyll/Sail/Medium Blue,
Nike Blazer Low '77 Vintage,₹ 7 195.00,Men,95,4.4,DA6364-101,,0,4,Black/Sail/Black/White,White/Sail/Black/Pine Green,White/Sail/Black,White/Chlorophyll/Sail/Medium Blue,
Nike Blazer Low '77 Vintage,₹ 7 195.00,Men,95,4.4,DA6364-107,,0,4,Black/Sail/Black/White,White/Sail/Black/Pine Green,White/Sail/Black,White/Chlorophyll/Sail/Medium Blue,
